iter	Logloss
0	0.6801744632
1	0.6678338007
2	0.6559443226
3	0.6471923193
4	0.6364909712
5	0.6273457041
6	0.6169717903
7	0.608310356
8	0.599076638
9	0.5908404775
10	0.5822697814
11	0.5744259824
12	0.5674294199
13	0.5600310381
14	0.5529799049
15	0.5458020341
16	0.5392286535
17	0.5337147586
18	0.5276149792
19	0.5216667257
20	0.5161525281
21	0.5108172552
22	0.5060443308
23	0.5010682392
24	0.4971538967
25	0.4925045031
26	0.488136231
27	0.4843461717
28	0.4807073591
29	0.4769960288
30	0.4732972826
31	0.4697142002
32	0.4668261214
33	0.4640352579
34	0.46098478
35	0.458038018
36	0.4549647656
37	0.4520934769
38	0.4495463731
39	0.4472588293
40	0.4447955493
41	0.44253133
42	0.4403815017
43	0.4383810867
44	0.4362607536
45	0.434250429
46	0.4322383601
47	0.4304682375
48	0.4291145041
49	0.4279835101
50	0.4266849972
51	0.4250727149
52	0.4235792108
53	0.4219431582
54	0.4204386185
55	0.4192423889
56	0.4179136362
57	0.4167063429
58	0.4154270151
59	0.4144906356
60	0.4132665237
61	0.4120726348
62	0.4108670989
63	0.4096533094
64	0.4090962264
65	0.4081598735
66	0.4070878557
67	0.4065307719
68	0.4057677834
69	0.404855819
70	0.4038476178
71	0.4030397955
72	0.4023729228
73	0.4016235785
74	0.4008562234
75	0.4002004838
76	0.3995327793
77	0.3988268366
78	0.3982887698
79	0.3975893347
80	0.3969835061
81	0.3963397464
82	0.3957546699
83	0.395361508
84	0.3947273778
85	0.3942328604
86	0.3937647532
87	0.3933299481
88	0.3928236299
89	0.3926310951
90	0.3920664444
91	0.3916071254
92	0.3911735029
93	0.3907098386
94	0.3903465264
95	0.3899782875
96	0.3895321835
97	0.3891576358
98	0.3889055372
99	0.3885459124
100	0.3881571647
101	0.3877912615
102	0.387466126
103	0.3870937127
104	0.3867934508
105	0.3865000954
106	0.3862424596
107	0.3860761416
108	0.3858263938
109	0.3856343933
110	0.3854943522
111	0.3851896064
112	0.384917003
113	0.3847179048
114	0.384388585
115	0.3841264714
116	0.3838863844
117	0.3835733661
118	0.3832906622
119	0.3829973768
120	0.3827482872
121	0.3826405859
122	0.3824731901
123	0.3822215755
124	0.3820124489
125	0.3817498886
126	0.3815273053
127	0.3814228609
128	0.3811511133
129	0.3810318143
130	0.3808724184
131	0.3806941128
132	0.3805765802
133	0.3803387518
134	0.3801213074
135	0.3799147922
136	0.3797495809
137	0.379558423
138	0.3793593393
139	0.3791672013
140	0.3790230226
141	0.3788675318
142	0.3786456306
143	0.3784741642
144	0.3782218646
145	0.3780761529
146	0.3779340536
147	0.3778843277
148	0.3778171687
149	0.3776755772
150	0.3774968529
151	0.3773046979
152	0.3771095761
153	0.3769844546
154	0.376895396
155	0.3766605785
156	0.376550461
157	0.3764027512
158	0.3762365868
159	0.3760807871
160	0.3760706316
161	0.3758935945
162	0.3758634682
163	0.3757349451
164	0.3756414
165	0.3755259428
166	0.375387206
167	0.3752661178
168	0.3751547806
169	0.3750911947
170	0.3749545347
171	0.3748403488
172	0.3747302613
173	0.3745994904
174	0.3744932482
175	0.3742963916
176	0.3740726302
177	0.3739764593
178	0.3738991207
179	0.3738109568
180	0.3737150441
